Epoch	Phase	Loss	Accuracy
1	train	0.6506	0.6171
1	val	0.5924	0.6936
2	train	0.5252	0.7387
2	val	0.4516	0.7827
3	train	0.4720	0.7746
3	val	0.4517	0.7939
4	train	0.4353	0.7968
4	val	0.3670	0.8328
5	train	0.4035	0.8146
5	val	0.3431	0.8405
6	train	0.3763	0.8309
6	val	0.3232	0.8552
7	train	0.3506	0.8444
7	val	0.3347	0.8563
8	train	0.3345	0.8518
8	val	0.3108	0.8632
9	train	0.3240	0.8586
9	val	0.2745	0.8829
10	train	0.3126	0.8632
10	val	0.2936	0.8732
11	train	0.3067	0.8670
11	val	0.2710	0.8838
12	train	0.2940	0.8714
12	val	0.2654	0.8883
13	train	0.2906	0.8759
13	val	0.2388	0.8974
14	train	0.2805	0.8799
14	val	0.2746	0.8800
15	train	0.2758	0.8817
15	val	0.2568	0.8874
16	train	0.2687	0.8864
16	val	0.2357	0.8993
17	train	0.2626	0.8874
17	val	0.2415	0.8977
18	train	0.2568	0.8907
18	val	0.2658	0.8852
19	train	0.2523	0.8921
19	val	0.2223	0.9055
20	train	0.2516	0.8929
20	val	0.2272	0.9057
